1 (D=148),0.0878,2 (D=519),0.3265,3 (D=12),0.0140,4 (D=126),0.1376,5 (D=50),0.0302,6 (D=17),0.0086,7 (D=163),0.1602,8 (D=83),0.0469,9 (D=63),0.0303,10 (D=251),0.0839,11 (D=36),0.0208,12 (D=37),0.0198,13 (D=60),0.0206,14 (D=22),0.0128,
3873,0.0097,379,0.0090,182,0.0341,3056,0.0095,2544,0.0429,738,0.0890,3008,0.0336,570,0.0370,379,0.0244,379,0.0167,4140,0.0149,291,0.0367,570,0.0256,5655,0.0457,
291,0.0094,402,0.0082,280,0.0338,856,0.0064,81,0.0318,291,0.0151,824,0.0252,258,0.0255,2499,0.0207,635,0.0125,64,0.0138,2757,0.0170,10309,0.0217,635,0.0361,
2022,0.0076,81,0.0074,209,0.0127,5063,0.0063,3643,0.0198,121,0.0147,1329,0.0168,121,0.0180,318,0.0144,515,0.0113,121,0.0138,6114,0.0154,3213,0.0094,1499,0.0317,
437,0.0075,291,0.0071,270,0.0099,2557,0.0058,5480,0.0164,158,0.0139,14592,0.0168,569,0.0143,448,0.0131,277,0.0108,878,0.0128,223,0.0145,1685,0.0088,505,0.0281,
258,0.0070,258,0.0063,56,0.0088,258,0.0054,3777,0.0145,1857,0.0120,6448,0.0167,3500,0.0135,277,0.0123,81,0.0098,11238,0.0096,8089,0.0136,2644,0.0084,2231,0.0272,
1474,0.0068,203,0.0062,74,0.0088,121,0.0045,84,0.0143,10707,0.0115,17670,0.0167,1016,0.0133,230,0.0118,521,0.0095,14419,0.0083,5754,0.0132,692,0.0078,1052,0.0261,
81,0.0065,352,0.0050,127,0.0088,402,0.0044,3003,0.0140,3284,0.0110,84,0.0121,3862,0.0131,291,0.0115,1258,0.0094,5551,0.0080,4722,0.0110,13846,0.0076,3602,0.0256,
2557,0.0059,70,0.0043,44,0.0085,5464,0.0040,3453,0.0134,1038,0.0105,1258,0.0117,534,0.0118,203,0.0115,258,0.0091,810,0.0079,10060,0.0090,2970,0.0075,1404,0.0248,
3884,0.0058,311,0.0043,169,0.0085,81,0.0038,4436,0.0114,3196,0.0102,1034,0.0107,1774,0.0117,510,0.0100,534,0.0087,200,0.0076,935,0.0082,3981,0.0074,3143,0.0246,
1709,0.0054,2557,0.0041,208,0.0085,23,0.0037,1052,0.0107,1052,0.0087,57,0.0097,841,0.0104,509,0.0096,121,0.0086,223,0.0068,277,0.0079,311,0.0072,1900,0.0242,
2231,0.0051,342,0.0041,30,0.0084,1016,0.0034,379,0.0106,14,0.0084,1663,0.0096,712,0.0104,446,0.0087,291,0.0082,10967,0.0064,1527,0.0077,344,0.0064,3631,0.0238,
101,0.0050,437,0.0039,124,0.0078,6974,0.0033,1258,0.0097,881,0.0078,8675,0.0089,104,0.0103,402,0.0086,1016,0.0077,11600,0.0064,6127,0.0077,635,0.0061,7702,0.0238,
402,0.0049,386,0.0039,267,0.0073,461,0.0033,2320,0.0087,1077,0.0074,1794,0.0088,81,0.0098,352,0.0085,633,0.0070,4184,0.0062,109,0.0076,343,0.0058,8235,0.0238,
1441,0.0047,1496,0.0036,263,0.0071,209,0.0029,1876,0.0085,2313,0.0057,228,0.0087,8805,0.0091,444,0.0077,821,0.0068,311,0.0061,3179,0.0074,1394,0.0055,15933,0.0238,
311,0.0041,16673,0.0036,6910,0.0071,175,0.0028,3587,0.0074,878,0.0056,1477,0.0087,3608,0.0089,10,0.0071,311,0.0065,2031,0.0059,84,0.0071,3568,0.0048,3515,0.0235,
1911,0.0040,1016,0.0034,223,0.0070,2266,0.0026,12736,0.0068,16520,0.0054,2398,0.0087,3867,0.0081,300,0.0070,2644,0.0063,2069,0.0059,14921,0.0067,1853,0.0045,9824,0.0235,
121,0.0040,101,0.0033,295,0.0067,1394,0.0026,2175,0.0060,1931,0.0052,2263,0.0086,352,0.0075,8585,0.0063,585,0.0058,7215,0.0057,172,0.0066,2514,0.0045,392,0.0231,
209,0.0039,2524,0.0032,193,0.0066,2320,0.0026,14639,0.0057,461,0.0049,3010,0.0085,1049,0.0072,2485,0.0061,2557,0.0056,894,0.0056,258,0.0058,3220,0.0045,1061,0.0231,
670,0.0039,1553,0.0032,87,0.0064,21,0.0025,1845,0.0056,485,0.0049,4052,0.0084,324,0.0067,90,0.0060,203,0.0054,53,0.0055,311,0.0054,3639,0.0044,1798,0.0231,
309,0.0037,344,0.0031,90,0.0063,841,0.0024,1237,0.0053,1830,0.0048,18428,0.0084,402,0.0067,315,0.0056,631,0.0053,1001,0.0054,679,0.0054,537,0.0042,3156,0.0231,
7748,0.0037,343,0.0031,272,0.0063,84,0.0022,2348,0.0046,1198,0.0046,1483,0.0084,461,0.0067,2895,0.0052,402,0.0049,2655,0.0054,5278,0.0052,7820,0.0042,4153,0.0231,
343,0.0036,371,0.0030,301,0.0063,102,0.0021,1001,0.0045,1380,0.0046,5129,0.0084,344,0.0063,2888,0.0052,2066,0.0047,3213,0.0053,1049,0.0047,1831,0.0040,4532,0.0231,
3602,0.0034,324,0.0030,101,0.0063,311,0.0021,2833,0.0044,109,0.0045,5173,0.0084,3860,0.0063,311,0.0047,252,0.0044,899,0.0051,1178,0.0047,3115,0.0039,8667,0.0231,
1265,0.0032,318,0.0030,10,0.0061,475,0.0021,291,0.0044,945,0.0045,819,0.0083,618,0.0062,344,0.0047,343,0.0043,1575,0.0049,158,0.0047,3270,0.0039,10660,0.0231,
1016,0.0031,3453,0.0029,46,0.0060,2803,0.0021,534,0.0044,8288,0.0045,182,0.0061,3871,0.0057,127,0.0047,1052,0.0043,606,0.0048,1760,0.0045,5804,0.0038,14332,0.0231,
379,0.0029,121,0.0029,55,0.0060,223,0.0021,3167,0.0041,2281,0.0044,76,0.0050,10,0.0055,2832,0.0046,692,0.0042,6789,0.0047,4106,0.0045,9795,0.0038,17545,0.0231,
635,0.0029,1058,0.0026,81,0.0059,3630,0.0020,14,0.0040,10,0.0042,874,0.0044,101,0.0053,518,0.0045,2162,0.0039,7612,0.0047,309,0.0044,474,0.0037,5654,0.0230,
23,0.0029,341,0.0026,100,0.0056,2656,0.0020,270,0.0037,332,0.0042,291,0.0038,3852,0.0048,3613,0.0044,2428,0.0037,129,0.0045,984,0.0043,2557,0.0037,3955,0.0103,
203,0.0028,309,0.0025,149,0.0056,1000,0.0019,290,0.0036,362,0.0042,13111,0.0034,1052,0.0046,386,0.0041,841,0.0037,660,0.0045,387,0.0042,2746,0.0037,11212,0.0062,
862,0.0028,387,0.0025,245,0.0056,3185,0.0019,1103,0.0036,305,0.0040,521,0.0031,379,0.0045,258,0.0040,313,0.0036,8072,0.0045,3822,0.0042,8396,0.0037,1017,0.0060,
290,0.0027,2066,0.0025,298,0.0056,277,0.0019,5815,0.0036,3571,0.0040,448,0.0028,2381,0.0043,2522,0.0040,10,0.0034,141,0.0045,3580,0.0041,9144,0.0036,5287,0.0060,
841,0.0026,10,0.0024,282,0.0055,800,0.0018,1169,0.0036,14059,0.0040,2942,0.0028,2557,0.0043,101,0.0038,2449,0.0032,115,0.0044,4296,0.0040,65,0.0035,1663,0.0046,
2449,0.0026,2833,0.0024,226,0.0053,508,0.0018,209,0.0035,14220,0.0040,661,0.0027,156,0.0043,313,0.0037,3129,0.0032,576,0.0043,2721,0.0038,1426,0.0033,11207,0.0042,
109,0.0026,862,0.0023,12,0.0049,862,0.0018,563,0.0035,311,0.0039,81,0.0026,4800,0.0040,343,0.0036,982,0.0032,39,0.0043,1557,0.0036,862,0.0033,13567,0.0042,
800,0.0025,591,0.0023,259,0.0049,1103,0.0018,1663,0.0033,6037,0.0039,387,0.0024,175,0.0031,1215,0.0033,1942,0.0030,16358,0.0043,1077,0.0035,2942,0.0032,338,0.0038,
521,0.0025,841,0.0023,14,0.0047,183,0.0018,3870,0.0033,386,0.0038,372,0.0024,876,0.0031,309,0.0033,309,0.0030,573,0.0042,5749,0.0035,179,0.0031,5140,0.0038,
15066,0.0024,515,0.0023,2282,0.0046,633,0.0018,11627,0.0033,2320,0.0036,172,0.0023,282,0.0031,2204,0.0033,555,0.0029,8736,0.0040,1305,0.0034,1900,0.0031,1428,0.0031,
339,0.0024,182,0.0023,10035,0.0046,5394,0.0018,175,0.0032,296,0.0034,453,0.0023,535,0.0030,1103,0.0032,118,0.0029,183,0.0039,175,0.0033,1911,0.0031,4130,0.0031,
84,0.0024,2544,0.0022,27,0.0042,1553,0.0018,3838,0.0031,1848,0.0034,222,0.0023,311,0.0029,3377,0.0032,101,0.0028,175,0.0038,2002,0.0033,2295,0.0031,5696,0.0031,
2833,0.0023,1103,0.0022,51,0.0042,101,0.0018,1860,0.0031,3447,0.0034,311,0.0023,1699,0.0029,3350,0.0032,218,0.0028,560,0.0038,183,0.0032,10028,0.0031,1400,0.0027,
2032,0.0023,353,0.0022,176,0.0042,309,0.0018,982,0.0029,4845,0.0034,175,0.0022,3236,0.0029,4242,0.0032,612,0.0028,3772,0.0038,2286,0.0032,303,0.0030,10559,0.0023,
1404,0.0023,118,0.0021,254,0.0042,3515,0.0017,1077,0.0029,15817,0.0034,919,0.0020,1875,0.0028,353,0.0032,2499,0.0028,796,0.0036,4745,0.0032,1237,0.0029,1889,0.0021,
183,0.0022,270,0.0021,91,0.0039,372,0.0017,3121,0.0029,414,0.0033,258,0.0020,1900,0.0028,1247,0.0031,601,0.0028,2182,0.0035,5641,0.0032,5563,0.0029,9394,0.0020,
2391,0.0022,633,0.0021,919,0.0039,398,0.0017,14547,0.0029,2238,0.0033,188,0.0019,9669,0.0027,12154,0.0031,944,0.0028,561,0.0033,182,0.0031,17,0.0029,7197,0.0019,
175,0.0022,708,0.0020,2279,0.0039,453,0.0017,124,0.0029,2499,0.0033,8274,0.0018,209,0.0027,118,0.0031,1796,0.0026,69,0.0033,282,0.0031,6986,0.0029,8914,0.0019,
129,0.0021,6491,0.0020,5061,0.0039,345,0.0016,353,0.0029,6290,0.0033,4894,0.0018,3851,0.0025,371,0.0029,305,0.0025,84,0.0033,2444,0.0031,7980,0.0029,9045,0.0019,
1449,0.0021,1911,0.0020,129,0.0036,1326,0.0016,461,0.0029,699,0.0032,812,0.0018,591,0.0025,520,0.0029,2320,0.0025,172,0.0033,17,0.0030,10314,0.0029,11141,0.0019,
1571,0.0021,339,0.0019,1,0.0035,158,0.0016,2889,0.0028,1265,0.0032,3284,0.0017,3542,0.0025,2493,0.0029,848,0.0025,276,0.0033,345,0.0030,437,0.0028,11787,0.0019,
535,0.0021,374,0.0019,47,0.0035,291,0.0015,3033,0.0028,1001,0.0031,9255,0.0017,87,0.0024,2497,0.0029,1076,0.0025,538,0.0032,8091,0.0030,3548,0.0028,1219,0.0015,
1038,0.0021,535,0.0019,61,0.0035,1900,0.0015,9834,0.0028,1103,0.0031,5960,0.0017,182,0.0024,3378,0.0029,182,0.0025,2398,0.0032,3033,0.0029,482,0.0027,1935,0.0015,
