1 (D=148),0.0878,2 (D=519),0.3265,3 (D=12),0.0133,4 (D=126),0.1376,5 (D=50),0.0301,6 (D=17),0.0089,7 (D=163),0.1608,8 (D=83),0.0470,9 (D=63),0.0304,10 (D=251),0.0839,11 (D=36),0.0208,12 (D=37),0.0196,13 (D=60),0.0203,14 (D=22),0.0129,
3873,0.0097,379,0.0091,182,0.0360,3056,0.0095,2544,0.0433,738,0.0858,3008,0.0335,570,0.0362,379,0.0243,379,0.0163,4140,0.0149,291,0.0376,570,0.0278,5655,0.0455,
291,0.0094,402,0.0083,280,0.0356,856,0.0064,81,0.0325,6910,0.0137,824,0.0251,258,0.0252,2499,0.0202,635,0.0129,64,0.0137,2757,0.0173,10309,0.0220,635,0.0364,
2022,0.0076,81,0.0073,209,0.0133,5063,0.0063,3643,0.0201,121,0.0126,1329,0.0167,121,0.0183,318,0.0143,277,0.0111,121,0.0132,6114,0.0156,3213,0.0097,1499,0.0318,
437,0.0076,291,0.0070,270,0.0100,2557,0.0058,5480,0.0165,158,0.0121,14592,0.0167,569,0.0142,448,0.0131,515,0.0105,878,0.0128,223,0.0151,1685,0.0090,505,0.0276,
1474,0.0068,258,0.0068,56,0.0093,258,0.0052,3777,0.0147,1857,0.0115,6448,0.0167,1016,0.0135,277,0.0121,81,0.0095,11238,0.0097,8089,0.0138,2644,0.0087,2231,0.0264,
258,0.0068,203,0.0062,74,0.0093,121,0.0047,84,0.0144,3284,0.0110,17670,0.0166,3500,0.0135,203,0.0118,521,0.0094,14419,0.0083,5754,0.0133,2970,0.0077,1052,0.0260,
81,0.0067,352,0.0051,127,0.0093,402,0.0045,3003,0.0141,10707,0.0110,84,0.0120,3862,0.0131,291,0.0118,1258,0.0093,810,0.0080,4722,0.0113,3981,0.0077,3602,0.0253,
2557,0.0062,70,0.0043,44,0.0089,5464,0.0040,3453,0.0136,3196,0.0099,1258,0.0118,534,0.0118,230,0.0117,258,0.0087,5551,0.0080,10060,0.0090,13846,0.0077,1404,0.0249,
3884,0.0058,311,0.0042,169,0.0089,81,0.0038,1052,0.0118,1052,0.0083,1034,0.0105,1774,0.0117,510,0.0105,534,0.0087,200,0.0078,935,0.0083,311,0.0073,3143,0.0245,
1709,0.0054,342,0.0041,208,0.0089,23,0.0037,4436,0.0114,14,0.0072,1663,0.0098,841,0.0105,509,0.0096,291,0.0084,223,0.0066,277,0.0078,635,0.0070,1900,0.0241,
2231,0.0052,2557,0.0041,30,0.0085,1016,0.0035,379,0.0108,291,0.0072,57,0.0095,712,0.0103,446,0.0084,1016,0.0083,4184,0.0064,1527,0.0078,692,0.0070,3631,0.0237,
101,0.0052,386,0.0039,124,0.0082,461,0.0033,1258,0.0095,1077,0.0072,8675,0.0089,104,0.0102,402,0.0081,121,0.0077,10967,0.0064,6127,0.0078,1394,0.0061,7702,0.0237,
402,0.0048,437,0.0039,1038,0.0082,6974,0.0033,2320,0.0090,353,0.0055,1794,0.0087,81,0.0100,352,0.0079,633,0.0071,11600,0.0064,109,0.0075,343,0.0053,8235,0.0237,
1441,0.0047,1496,0.0036,267,0.0078,175,0.0030,1876,0.0088,878,0.0055,228,0.0087,8805,0.0091,444,0.0078,311,0.0070,3213,0.0061,3179,0.0075,7820,0.0051,15933,0.0237,
311,0.0041,16673,0.0036,10,0.0074,209,0.0029,3587,0.0072,910,0.0055,1477,0.0087,3608,0.0089,300,0.0070,821,0.0067,2031,0.0059,84,0.0073,2514,0.0048,3515,0.0233,
121,0.0041,101,0.0034,223,0.0074,2266,0.0027,12736,0.0069,2313,0.0055,2398,0.0087,3867,0.0081,10,0.0068,2644,0.0064,2069,0.0059,172,0.0073,65,0.0046,9824,0.0233,
